Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,17.686037,18.302756,54.159284
1.000000,38.441836,9.150879,70.254730
2.000000,44.247381,6.521628,70.254730
3.000000,47.180777,5.467901,70.254730
4.000000,49.114217,3.884099,70.254730
5.000000,49.451081,3.656240,66.091521
6.000000,49.632631,4.013519,66.091521
7.000000,49.919379,4.300225,66.245602
8.000000,50.965207,5.438549,67.119399
9.000000,51.914726,6.297187,68.977461
10.000000,52.893566,6.483899,68.843119
11.000000,53.243883,6.347213,67.115702
12.000000,55.501759,7.344070,67.115702
13.000000,56.617728,8.225975,81.074715
14.000000,53.932687,7.257948,81.076169
15.000000,55.230880,7.817991,81.076169
16.000000,57.602661,6.892996,69.047826
17.000000,59.118367,7.090252,69.047826
18.000000,60.412177,7.336457,74.388035
19.000000,62.315168,5.783363,74.388035
20.000000,65.778335,1.923356,74.388035
21.000000,66.267381,1.639805,74.388035
22.000000,66.613895,0.779864,69.555074
23.000000,66.795789,0.892196,69.612454
24.000000,67.071614,1.098743,69.661025
25.000000,66.898018,1.023725,69.598808
26.000000,66.988317,0.952938,69.683157
27.000000,66.943141,0.945770,69.749824
28.000000,67.104541,1.081644,69.749824
29.000000,67.511986,1.341158,71.687260
