Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,15.042672,17.537529,62.104324
1.000000,31.840725,9.856300,60.840603
2.000000,38.327658,8.405250,61.712848
3.000000,45.968250,7.337236,68.287800
4.000000,47.826738,5.620721,66.066867
5.000000,48.916861,6.018834,67.637692
6.000000,51.051147,6.393445,66.116545
7.000000,51.857954,6.763430,67.647628
8.000000,52.566476,6.873456,67.678696
9.000000,53.533948,6.367930,66.897542
10.000000,57.826032,4.858568,70.588392
11.000000,59.631762,4.860588,74.996111
12.000000,58.146022,4.769675,69.626634
13.000000,60.299796,3.291709,68.094982
14.000000,61.832048,3.309203,71.287519
15.000000,62.483505,3.350823,69.907012
16.000000,61.343485,4.494514,69.907012
17.000000,60.687126,5.066171,71.526492
18.000000,62.487608,3.667485,69.802190
19.000000,63.086843,3.495660,73.187313
20.000000,63.601300,2.915788,71.296836
21.000000,63.946611,3.082856,71.296836
22.000000,64.837865,3.085739,71.434662
23.000000,64.801938,3.219965,71.434662
24.000000,66.238167,2.898817,71.434662
25.000000,65.502815,3.404704,71.427522
26.000000,66.343899,2.899661,71.521009
27.000000,65.873335,3.198182,71.318126
28.000000,66.490259,2.644619,71.318126
29.000000,67.364696,2.010745,71.476804
