Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,13.111538,19.480198,47.780143
1.000000,37.643104,8.898136,59.373902
2.000000,44.898947,4.485033,54.410882
3.000000,48.209792,2.852225,63.080205
4.000000,48.486704,2.331137,65.731089
5.000000,48.909252,2.846832,65.731089
6.000000,48.868245,2.292531,59.692454
7.000000,49.109339,2.311142,59.692454
8.000000,49.395146,3.077591,71.483915
9.000000,49.736111,3.978721,71.483915
10.000000,49.621085,2.988058,59.773289
11.000000,50.493382,4.263905,66.073692
12.000000,50.543695,4.150446,68.975337
13.000000,51.210208,4.439674,68.975337
14.000000,51.687380,4.561071,65.707364
15.000000,51.959570,4.415608,65.756611
16.000000,53.188933,4.788877,65.756611
17.000000,54.425337,5.142540,66.190199
18.000000,55.770372,4.934383,74.933996
19.000000,54.690835,5.401486,74.933996
20.000000,54.867087,5.369775,77.824219
21.000000,57.723918,4.614898,77.824219
22.000000,58.888801,4.843912,77.824219
23.000000,59.502313,3.623128,74.851454
24.000000,59.683075,2.863059,74.851454
25.000000,60.525256,3.050064,74.851454
26.000000,60.371077,3.309488,74.851454
27.000000,60.841198,4.084261,74.851454
28.000000,60.937165,4.794595,77.463796
29.000000,60.927914,5.103853,77.463796
