Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,20.287817,29.879976,90.433561
1.000000,54.736150,32.497899,89.249013
2.000000,81.596525,16.448766,90.853561
3.000000,86.794586,5.428406,90.853561
4.000000,88.400437,1.405110,90.853561
5.000000,88.959048,1.566850,91.219688
6.000000,89.241826,1.575904,91.219688
7.000000,89.741289,1.524442,91.965069
8.000000,90.084459,1.560250,91.993561
9.000000,90.328661,1.547775,91.993561
10.000000,90.774240,1.283279,91.993561
11.000000,91.145723,0.632555,91.993561
12.000000,91.387840,0.433896,91.993561
13.000000,91.554930,0.377004,92.119688
14.000000,91.643713,0.374027,92.239688
15.000000,91.687933,0.392621,92.239688
16.000000,91.753421,0.390997,92.239688
17.000000,91.855308,0.372778,92.239688
18.000000,91.963340,0.343328,92.239688
19.000000,91.966940,0.345257,92.239688
20.000000,91.960953,0.349904,92.239688
21.000000,91.975389,0.341470,92.239688
22.000000,91.968624,0.342865,92.239688
23.000000,91.975288,0.333129,92.239688
24.000000,91.992511,0.306082,92.239688
25.000000,92.010769,0.273683,92.239688
26.000000,92.047065,0.253239,92.239688
27.000000,92.067154,0.235188,92.239688
28.000000,92.120042,0.189010,92.239688
29.000000,92.178156,0.106576,92.239688
