Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,12.757135,18.243757,85.991410
1.000000,28.745275,14.597341,86.193424
2.000000,39.283881,16.763630,86.391410
3.000000,50.189745,17.080996,86.413791
4.000000,62.757834,9.686533,86.791410
5.000000,66.314955,10.657767,89.215851
6.000000,70.099921,10.726439,87.666602
7.000000,75.512046,10.497558,88.593424
8.000000,77.605703,8.925446,88.593424
9.000000,83.269715,5.265610,88.993424
10.000000,86.283043,2.602109,88.993424
11.000000,87.433304,0.869380,88.993424
12.000000,88.151711,0.520376,89.823649
13.000000,88.552267,0.392455,89.823649
14.000000,88.753866,0.214751,89.823649
15.000000,88.839912,0.270663,89.823649
16.000000,88.791594,0.446038,89.823649
17.000000,88.851566,0.543778,90.821114
18.000000,88.908217,0.584370,90.821114
19.000000,89.141855,0.431553,90.821114
20.000000,89.374802,0.384789,90.821114
21.000000,89.421851,0.381589,90.821114
22.000000,89.540285,0.440037,90.821114
23.000000,89.744662,0.299178,90.821114
24.000000,89.805623,0.256689,90.821114
25.000000,89.857548,0.174008,90.821114
26.000000,89.833624,0.099247,90.821114
27.000000,89.823649,0.000000,89.823649
28.000000,89.823649,0.000000,89.823649
29.000000,89.823649,0.000000,89.823649
