Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,2.330971,14.917615,56.613121
1.000000,16.581594,16.656243,56.613121
2.000000,33.629916,9.973983,57.018586
3.000000,42.011072,5.668054,65.974134
4.000000,45.180617,9.144830,94.852506
5.000000,47.636881,10.114829,94.852506
6.000000,50.619703,11.338753,94.852506
7.000000,54.790086,13.043783,94.852506
8.000000,59.752791,11.747266,94.852506
9.000000,70.153947,9.612695,94.852506
10.000000,78.006744,6.783221,94.852506
11.000000,80.936716,8.866866,94.852506
12.000000,84.649291,9.762415,94.918596
13.000000,90.904247,7.817246,94.918596
14.000000,90.913551,7.822158,94.918596
15.000000,92.286426,6.577956,94.918596
16.000000,93.869855,4.267262,94.918596
17.000000,92.905426,5.878590,94.918596
18.000000,91.144988,7.688716,94.918596
19.000000,93.886404,4.271146,94.918596
20.000000,93.506082,5.003286,94.918596
21.000000,92.925874,5.885461,94.918596
22.000000,94.505066,2.748132,94.918596
23.000000,94.708837,1.953958,94.918596
24.000000,89.418559,10.544859,94.918596
25.000000,93.127553,5.616167,94.918596
26.000000,91.777248,7.532684,94.918596
27.000000,90.465834,9.650665,94.918596
28.000000,91.775969,7.531928,94.918596
29.000000,92.745275,6.143757,94.918596
