Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,19.801843,17.380543,63.211687
1.000000,32.902136,7.279721,56.850014
2.000000,39.926981,8.269080,69.423168
3.000000,46.669807,5.548909,69.423168
4.000000,48.246782,5.303675,69.423168
5.000000,50.613187,6.094287,69.423168
6.000000,52.942468,6.151903,69.423168
7.000000,54.006263,7.122309,69.423168
8.000000,53.950748,7.257780,69.578449
9.000000,56.058788,5.921369,68.100539
10.000000,56.977931,6.397619,69.302361
11.000000,55.127510,7.334466,69.302361
12.000000,57.004124,6.236269,69.302361
13.000000,56.663027,6.438648,69.595020
14.000000,58.711068,5.531404,71.339902
15.000000,59.155852,5.245970,71.339902
16.000000,60.512739,5.582931,71.339902
17.000000,62.685929,3.447895,71.569288
18.000000,63.938943,3.513360,71.569288
19.000000,65.611294,2.834082,72.816325
20.000000,65.022580,3.409999,72.816325
21.000000,66.024506,3.254866,72.816325
22.000000,68.750125,2.080238,72.816325
23.000000,69.492273,1.576072,72.816325
24.000000,69.495177,1.764370,72.816325
25.000000,70.510240,0.888426,72.816325
26.000000,70.761259,0.866996,72.816325
27.000000,71.003428,0.767945,72.816325
28.000000,71.413034,0.465563,72.816325
29.000000,71.575514,0.185027,72.816325
