Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,4.446081,15.511683,39.122264
1.000000,22.204850,16.074945,94.785064
2.000000,32.200263,12.432678,66.176954
3.000000,40.244454,5.050990,66.176954
4.000000,42.711651,6.967954,66.176954
5.000000,48.705165,11.131200,94.852506
6.000000,53.685389,11.467229,94.852506
7.000000,59.065123,15.452338,94.918596
8.000000,62.824634,14.834798,94.918596
9.000000,70.488929,17.674423,94.918596
10.000000,79.224818,17.470349,94.852506
11.000000,82.644550,16.934288,94.918596
12.000000,86.922582,15.129828,94.918596
13.000000,88.355630,14.383879,94.918596
14.000000,91.447445,10.395988,94.918596
15.000000,94.857793,0.017930,94.918596
16.000000,92.124044,9.536512,94.918596
17.000000,94.860369,0.030135,94.918596
18.000000,94.871011,0.029674,94.918596
19.000000,92.886271,8.140955,94.918596
20.000000,94.874315,0.031076,94.918596
21.000000,91.853662,10.041951,94.918596
22.000000,94.880911,0.034066,94.918596
23.000000,94.884229,0.033019,94.918596
24.000000,94.884890,0.033038,94.918596
25.000000,94.885551,0.033045,94.918596
26.000000,93.932731,5.732367,94.918596
27.000000,94.489186,2.750986,94.918596
28.000000,94.090720,3.856660,94.918596
29.000000,94.687081,1.951776,94.918596
