Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,5.101373,12.094506,39.566278
1.000000,14.001948,13.585061,57.108356
2.000000,22.054802,15.014189,65.730904
3.000000,30.160194,17.020501,66.548962
4.000000,42.966781,19.563622,86.747846
5.000000,52.846184,17.824167,86.916168
6.000000,60.972942,18.443082,86.916168
7.000000,66.909815,17.631645,88.712828
8.000000,73.378449,14.724577,89.616796
9.000000,77.962624,12.302555,89.616796
10.000000,81.071076,10.650852,89.616796
11.000000,84.859098,5.652268,89.616796
12.000000,86.413932,2.730429,89.616796
13.000000,86.928367,3.503031,89.616796
14.000000,87.823640,1.253863,89.616796
15.000000,87.941967,1.232263,89.616796
16.000000,88.008658,1.321350,89.616796
17.000000,86.844199,4.575907,89.616796
18.000000,87.219710,4.001646,89.616796
19.000000,87.620007,3.134339,90.512892
20.000000,88.031968,1.345532,90.512892
21.000000,88.017416,2.237343,90.512892
22.000000,88.373737,2.535799,90.512892
23.000000,89.037462,1.266689,90.691733
24.000000,89.058629,1.464902,90.691733
25.000000,89.216384,1.301616,90.691733
26.000000,89.287147,1.278723,90.691733
27.000000,86.632639,8.795112,90.691733
28.000000,88.294144,4.639701,90.691733
29.000000,89.287274,1.322674,90.691733
