Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,3.128501,13.475949,39.033853
1.000000,14.743879,14.195961,39.179917
2.000000,29.091086,9.531664,57.225448
3.000000,34.246240,8.589334,57.038995
4.000000,36.530662,10.235702,66.269900
5.000000,38.902869,12.535105,66.269900
6.000000,42.712277,16.167099,94.807043
7.000000,44.767681,17.422980,94.785064
8.000000,47.197302,18.092805,94.785064
9.000000,49.570920,19.071497,94.785064
10.000000,55.888706,21.553500,94.918596
11.000000,61.784118,24.145921,94.918596
12.000000,68.818095,23.344976,94.918596
13.000000,75.135843,18.867350,94.918596
14.000000,76.014430,18.858149,94.943754
15.000000,75.647446,18.648042,94.943754
16.000000,77.636155,19.174208,94.943754
17.000000,76.723780,20.162244,95.016393
18.000000,79.482281,18.012985,95.016393
19.000000,81.901262,16.630271,95.016393
20.000000,87.708511,12.544760,95.016393
21.000000,87.998980,12.370783,95.016393
22.000000,87.142988,12.845704,95.016393
23.000000,87.906212,12.278790,95.016393
24.000000,85.341612,13.915401,95.016393
25.000000,87.737426,12.540908,95.023266
26.000000,86.878868,13.102629,95.023266
27.000000,88.121525,12.298068,95.023266
28.000000,86.270302,15.091353,95.023266
29.000000,85.501469,15.741925,95.023266
