Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,17.262194,17.548921,51.410668
1.000000,33.723520,7.186662,65.660834
2.000000,38.849104,8.214190,65.660834
3.000000,45.789339,5.971583,66.280931
4.000000,47.094768,4.594490,60.659672
5.000000,48.727969,6.041345,66.812661
6.000000,51.513172,6.458062,68.414864
7.000000,55.158343,6.113044,68.057654
8.000000,56.918538,5.695089,69.684027
9.000000,55.986831,6.205746,66.712064
10.000000,57.624690,4.241347,69.428672
11.000000,60.125241,3.689087,69.428672
12.000000,57.978852,5.816532,69.463243
13.000000,60.238687,4.369488,69.469770
14.000000,61.786776,4.054482,69.509947
15.000000,61.020055,4.410821,71.631907
16.000000,62.504122,4.000090,71.631907
17.000000,63.215683,4.173511,72.945079
18.000000,63.125687,3.974108,71.178505
19.000000,64.188265,3.340446,70.105465
20.000000,64.817047,3.004007,70.313150
21.000000,64.501529,3.230908,71.097697
22.000000,63.718593,3.928551,71.419058
23.000000,64.509569,3.683327,71.419058
24.000000,64.939920,3.129412,71.130310
25.000000,66.045523,2.558704,71.130310
26.000000,67.383708,1.666738,71.434495
27.000000,66.220695,3.022171,71.426224
28.000000,66.647401,2.800372,71.633947
29.000000,67.635933,2.168930,71.633947
