Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,2.402139,9.870703,39.466611
1.000000,9.649686,13.005288,39.482547
2.000000,18.018912,16.100372,86.466939
3.000000,27.161817,19.234781,86.466939
4.000000,37.840872,19.103103,86.466939
5.000000,51.560994,15.256351,87.323414
6.000000,54.965303,16.085893,87.323414
7.000000,62.870800,14.515565,87.323414
8.000000,71.483270,12.509390,87.323414
9.000000,75.604137,10.802410,87.323414
10.000000,79.575164,9.892027,87.323414
11.000000,81.770679,8.964168,87.323414
12.000000,83.171438,7.420212,87.503414
13.000000,80.934758,12.104043,87.503414
14.000000,84.602735,5.222172,87.503414
15.000000,84.800310,6.874773,87.844722
16.000000,85.133314,7.463110,88.024722
17.000000,86.543502,1.806895,88.024722
18.000000,86.955475,0.666405,88.447267
19.000000,85.216268,7.663621,88.024722
20.000000,83.966291,10.839211,88.024722
21.000000,87.361931,0.535855,88.024722
22.000000,87.174805,1.913441,88.024722
23.000000,85.689452,8.066466,88.024722
24.000000,87.529456,0.548438,88.620103
25.000000,87.524077,0.540973,88.084722
26.000000,87.580848,0.528112,88.142832
27.000000,85.598055,8.288990,88.142832
28.000000,84.329461,8.647793,88.324722
29.000000,87.211175,2.234240,88.324722
