Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,8.772276,19.312381,84.821114
1.000000,25.254518,20.906893,84.821114
2.000000,38.424400,18.698832,84.821114
3.000000,47.485445,17.558900,87.445142
4.000000,53.412498,21.213024,89.240905
5.000000,60.636148,22.657637,89.240905
6.000000,64.554370,22.252618,89.240905
7.000000,66.942314,22.330810,90.926955
8.000000,71.758492,20.411906,90.926955
9.000000,76.615354,17.276738,90.926955
10.000000,78.285650,17.898484,90.926955
11.000000,79.746372,17.580927,90.926955
12.000000,80.037538,17.407688,90.926955
13.000000,80.194535,17.338164,90.926955
14.000000,80.951413,16.525412,91.223649
15.000000,83.371723,12.763607,91.223649
16.000000,88.664879,5.932260,91.023649
17.000000,90.462377,0.528733,91.023649
18.000000,90.491996,0.520103,91.023649
19.000000,90.668516,0.432673,91.223649
20.000000,90.796783,0.335308,91.529262
21.000000,90.545857,1.172454,91.223649
22.000000,90.790881,0.421863,91.223649
23.000000,90.827569,0.370085,91.223649
24.000000,90.825676,0.373932,91.223649
25.000000,90.848338,0.372533,91.223649
26.000000,90.887967,0.373500,91.223649
27.000000,90.852826,0.641114,91.223649
28.000000,90.651991,1.159678,91.223649
29.000000,90.787202,0.774220,91.226190
