Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,48.709448,40.696152,93.246939
1.000000,79.264049,28.697101,93.826372
2.000000,91.757367,0.901938,93.435050
3.000000,92.149122,0.703021,93.806695
4.000000,92.320557,0.604255,93.615050
5.000000,92.654237,0.409509,93.559361
6.000000,92.880822,0.475058,93.619361
7.000000,92.956086,0.461914,93.675050
8.000000,93.062303,0.433435,94.032614
9.000000,93.220992,0.353718,94.463558
10.000000,93.376328,0.288449,94.463558
11.000000,93.460827,0.299019,94.463558
12.000000,93.564944,0.338799,94.463558
13.000000,93.696922,0.489457,94.586695
14.000000,93.959145,0.450019,94.672404
15.000000,94.122610,0.321249,94.672404
16.000000,94.190637,0.301071,94.726708
17.000000,94.212718,0.305610,94.798596
18.000000,94.247515,0.277833,94.798596
19.000000,94.230355,0.315213,94.798596
20.000000,94.304152,0.277238,94.852404
21.000000,94.318834,0.304020,94.852404
22.000000,94.358760,0.326584,94.852404
23.000000,94.276100,0.509003,94.852404
24.000000,94.290558,0.544115,94.852404
25.000000,94.392408,0.594567,94.852404
26.000000,94.521675,0.444837,94.852404
27.000000,94.552918,0.389889,94.852404
28.000000,94.573929,0.414496,94.882788
29.000000,94.745824,0.168890,94.924826
