Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,17.455483,17.979999,51.004955
1.000000,33.825221,8.176463,68.343599
2.000000,39.985276,5.758289,55.444364
3.000000,42.589074,5.106784,55.444364
4.000000,44.622780,4.723757,56.556986
5.000000,48.395573,2.539233,59.909664
6.000000,48.681051,2.418115,59.909664
7.000000,48.894448,2.829669,67.875054
8.000000,49.734865,4.095163,66.123037
9.000000,49.751046,3.960701,66.123037
10.000000,51.170533,5.309502,69.012773
11.000000,52.102161,6.383582,69.549710
12.000000,52.983008,6.285951,69.549710
13.000000,54.083638,7.174457,69.020020
14.000000,53.989364,7.259882,69.020020
15.000000,55.759323,7.882734,69.020020
16.000000,60.092528,7.634920,69.020020
17.000000,63.367227,4.669728,69.020020
18.000000,66.077046,2.209665,70.101954
19.000000,67.102248,0.848258,68.260882
20.000000,67.645502,0.587444,68.276501
21.000000,68.129749,0.137107,68.276501
22.000000,68.243081,0.058184,68.276501
23.000000,68.261663,0.003404,68.276501
24.000000,68.262444,0.004686,68.276501
25.000000,68.263850,0.006127,68.276501
26.000000,68.268223,0.007795,68.276501
27.000000,68.274652,0.005136,68.282708
28.000000,68.276625,0.000869,68.282708
29.000000,68.276935,0.001584,68.282708
