Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,6.002823,13.462106,73.764381
1.000000,15.060397,14.456034,73.764381
2.000000,26.071965,15.380668,83.600385
3.000000,39.286196,18.122836,83.600385
4.000000,48.088361,20.332402,85.144175
5.000000,60.651462,18.298675,85.157460
6.000000,67.252956,16.529285,86.453532
7.000000,66.678826,17.253561,85.833131
8.000000,69.351865,16.054524,85.833131
9.000000,71.377426,15.934744,88.172890
10.000000,75.736671,13.043454,88.172890
11.000000,77.523011,11.939503,87.713532
12.000000,78.921426,11.562809,88.397367
13.000000,80.167401,11.014864,88.397367
14.000000,79.657239,13.681596,88.397367
15.000000,81.665408,10.607984,88.670607
16.000000,84.431129,6.060403,88.472890
17.000000,86.172025,2.970101,88.964051
18.000000,83.355669,14.900974,88.964051
19.000000,86.702063,3.316261,88.964051
20.000000,85.332512,9.416698,88.964051
21.000000,87.025102,3.323683,88.964051
22.000000,87.431143,1.914959,88.964051
23.000000,87.672522,1.477720,88.964051
24.000000,87.083351,2.917126,88.964051
25.000000,87.490486,2.318619,88.964051
26.000000,86.882888,4.907865,89.384051
27.000000,87.471311,2.876749,89.444051
28.000000,87.716822,1.952200,89.384051
29.000000,88.041698,0.799480,88.964051
