Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,43.185842,42.336724,93.494823
1.000000,90.640438,1.952039,93.449516
2.000000,92.456372,0.260317,93.449516
3.000000,92.518293,0.260823,93.494823
4.000000,92.627899,0.326774,93.871733
5.000000,92.747878,0.343133,93.931733
6.000000,92.931209,0.335400,93.931733
7.000000,93.132807,0.304828,93.931733
8.000000,93.287282,0.286025,93.931733
9.000000,93.403580,0.232889,93.931733
10.000000,93.407448,0.263741,93.931733
11.000000,93.505580,0.282639,93.931733
12.000000,93.651253,0.233112,93.931733
13.000000,93.530397,0.483940,93.936796
14.000000,93.787953,0.233749,93.936796
15.000000,93.903736,0.031324,93.936796
16.000000,93.812102,0.316520,93.996796
17.000000,93.861846,0.241661,93.994253
18.000000,93.912555,0.098499,93.936796
19.000000,93.794860,0.352883,93.996796
20.000000,93.856070,0.252493,93.996796
21.000000,93.708396,0.421950,93.996796
22.000000,93.932246,0.018177,93.996796
23.000000,93.891241,0.181655,93.996796
24.000000,93.937789,0.023942,93.996796
25.000000,93.626252,0.508260,94.066708
26.000000,93.600086,0.517746,93.996796
27.000000,93.722206,0.436908,93.996796
28.000000,93.694407,0.483147,93.996796
29.000000,93.959863,0.089544,93.996796
