Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,15.401585,19.797012,65.531108
1.000000,34.556830,8.762795,60.105933
2.000000,38.079215,6.884187,53.979092
3.000000,41.296582,5.046173,53.979092
4.000000,43.764589,5.238455,59.691939
5.000000,45.832509,4.562364,59.691939
6.000000,48.616814,2.405995,59.691939
7.000000,49.150624,3.463561,66.163108
8.000000,49.805435,3.865280,66.163108
9.000000,49.938860,3.931572,66.163108
10.000000,50.216034,4.335882,66.163108
11.000000,50.078358,4.204722,66.734836
12.000000,50.242835,4.824707,66.496441
13.000000,50.229440,4.857608,68.054427
14.000000,51.245647,5.233306,66.496441
15.000000,51.964105,5.376177,65.968647
16.000000,53.757759,5.624550,65.968647
17.000000,57.084088,4.470232,77.374247
18.000000,60.230787,3.458005,77.374247
19.000000,61.648149,3.078989,71.639236
20.000000,62.509944,2.727718,71.444043
21.000000,63.595688,3.009021,74.426538
22.000000,63.595878,3.254896,74.426538
23.000000,65.213700,3.213995,74.437514
24.000000,65.632736,3.846173,77.393110
25.000000,67.221042,3.745024,77.434933
26.000000,67.628508,4.133886,74.426538
27.000000,69.890496,3.555513,77.389286
28.000000,69.591621,4.167351,77.389286
29.000000,70.871886,3.772423,77.389286
