Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,-0.935288,9.699479,39.013548
1.000000,7.007120,14.413458,39.179917
2.000000,15.750117,16.664425,39.018586
3.000000,22.291636,16.410193,39.179917
4.000000,28.563749,14.532555,66.044163
5.000000,36.883138,6.315869,57.269900
6.000000,40.130602,4.219779,66.260207
7.000000,40.879256,5.050762,66.269900
8.000000,43.230285,7.575846,75.269900
9.000000,45.214331,8.910938,94.785064
10.000000,49.138783,11.477516,94.785064
11.000000,51.700369,12.860876,94.852506
12.000000,55.361212,14.608645,94.918596
13.000000,57.079219,14.351824,94.918596
14.000000,61.784925,17.030165,94.918596
15.000000,65.825879,19.687505,94.918596
16.000000,67.460663,21.204259,94.918596
17.000000,70.184142,21.713379,94.918596
18.000000,69.007956,21.988179,94.918596
19.000000,70.211873,21.898312,94.918596
20.000000,73.232929,22.457638,94.918596
21.000000,76.623690,20.828607,94.918596
22.000000,78.464919,18.332119,94.918596
23.000000,74.708327,21.722339,94.918596
24.000000,78.606642,17.677142,94.918596
25.000000,79.420707,17.200274,94.918596
26.000000,80.106228,19.525584,94.918596
27.000000,79.172754,19.995900,94.918596
28.000000,79.210724,20.307010,94.918596
29.000000,82.974126,17.262008,94.918596
