Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,32.498465,10.366430,67.060844
1.000000,49.168373,10.633895,70.857364
2.000000,40.000966,5.598692,51.129912
3.000000,44.105427,5.033815,51.897581
4.000000,47.955378,0.736840,54.121584
5.000000,50.542704,2.509318,54.404309
6.000000,53.083258,1.829372,55.148069
7.000000,54.298294,1.337527,57.373449
8.000000,52.195864,5.565501,57.373449
9.000000,51.920959,2.787305,57.373449
10.000000,55.093082,4.300348,68.461378
11.000000,49.961920,5.615069,59.949658
12.000000,57.419361,2.888989,59.949658
13.000000,57.126929,3.227238,60.178690
14.000000,59.416249,1.203207,60.178690
15.000000,59.519153,1.395837,60.178690
16.000000,57.658402,3.580481,63.165209
17.000000,62.462831,1.322599,63.170075
18.000000,62.174001,1.483255,63.170075
19.000000,63.170075,0.000000,63.170075
20.000000,63.170075,0.000000,63.170075
21.000000,63.191805,0.216207,65.343040
22.000000,63.169648,3.278086,65.525416
23.000000,60.512399,5.094613,65.667509
24.000000,55.616494,3.430676,65.531230
25.000000,53.866286,3.136967,60.165644
26.000000,58.741667,1.511234,62.452933
27.000000,59.892564,2.925582,68.556918
28.000000,62.937231,4.982131,69.103420
29.000000,60.326115,6.271037,69.146634
