Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,65.568434,32.473394,92.394865
1.000000,91.232188,1.577679,93.561683
2.000000,92.442196,0.196771,93.950607
3.000000,92.592075,0.429352,93.950607
4.000000,92.675784,0.501526,94.040518
5.000000,92.818739,0.601970,94.349516
6.000000,93.046323,0.666891,94.349516
7.000000,93.553758,0.473146,94.349516
8.000000,93.957280,0.211294,94.349516
9.000000,94.111991,0.153315,94.360945
10.000000,94.262145,0.119683,94.409516
11.000000,94.358683,0.022610,94.469516
12.000000,94.374443,0.041810,94.578216
13.000000,94.385527,0.050480,94.578216
14.000000,94.409889,0.057649,94.583850
15.000000,94.439373,0.061566,94.603047
16.000000,94.420288,0.138937,94.603047
17.000000,94.472116,0.072631,94.629365
18.000000,94.491493,0.068451,94.629365
19.000000,94.499259,0.109996,94.703850
20.000000,94.532241,0.066381,94.703850
21.000000,94.564834,0.059784,94.703850
22.000000,94.595549,0.056645,94.703850
23.000000,94.619144,0.057772,94.703850
24.000000,94.635032,0.063680,94.774055
25.000000,94.653137,0.061567,94.703850
26.000000,94.625761,0.134156,94.709516
27.000000,94.610404,0.189414,94.714055
28.000000,94.545718,0.316189,94.708012
29.000000,94.579007,0.259390,94.708012
