Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,24.993817,12.435909,61.897104
1.000000,35.124854,7.453471,60.219794
2.000000,39.073848,8.384868,60.452313
3.000000,48.185825,6.909501,67.500715
4.000000,51.441252,7.008146,68.543439
5.000000,54.025028,6.900127,68.543439
6.000000,58.861546,5.136056,68.543439
7.000000,59.921456,4.099071,68.622554
8.000000,61.648307,3.119242,71.267528
9.000000,62.388939,2.801846,69.821654
10.000000,63.534498,2.921668,71.149949
11.000000,62.753275,2.979597,69.678365
12.000000,63.363883,2.904060,73.300392
13.000000,64.038338,2.607462,71.164735
14.000000,64.466720,2.576650,69.608068
15.000000,65.067369,2.864917,71.532177
16.000000,66.020276,2.292113,71.532177
17.000000,66.448804,2.409822,71.486126
18.000000,68.125840,1.730730,71.509567
19.000000,68.612811,1.482273,71.513555
20.000000,69.551459,1.097706,71.522383
21.000000,69.735719,1.025434,72.047398
22.000000,70.144631,0.906099,72.047398
23.000000,69.839301,1.130871,72.047398
24.000000,69.699829,1.174206,71.533295
25.000000,69.483809,1.272015,71.547548
26.000000,69.710834,1.189407,71.519621
27.000000,69.866009,1.031681,71.500804
28.000000,70.109549,0.956424,72.121336
29.000000,69.800270,1.240422,72.121336
