Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,27.131708,12.509941,51.923122
1.000000,34.355445,6.936493,59.012412
2.000000,40.332295,8.003039,60.470372
3.000000,46.581260,5.728533,62.282222
4.000000,49.587383,6.070936,65.768140
5.000000,50.489129,6.301251,64.527512
6.000000,53.653404,6.043845,64.430278
7.000000,54.386508,6.485653,65.821937
8.000000,55.180630,6.102258,69.409867
9.000000,57.367031,5.033029,69.477599
10.000000,61.297209,3.372480,69.481270
11.000000,63.616407,2.696288,69.477599
12.000000,64.118827,2.508738,69.477599
13.000000,64.865440,2.530855,69.477599
14.000000,65.828517,2.823929,71.222836
15.000000,66.263508,2.655298,69.477599
16.000000,67.852542,2.092253,71.827039
17.000000,68.876732,1.464781,71.473690
18.000000,69.170290,1.349573,71.473690
19.000000,69.582233,0.632228,71.473690
20.000000,69.667100,0.630634,71.474386
21.000000,69.756744,0.727627,71.473690
22.000000,69.974364,0.864671,71.473690
23.000000,70.245032,0.969198,71.474386
24.000000,70.945339,0.834125,71.474386
25.000000,71.449182,0.022406,71.474386
26.000000,71.471813,0.008086,71.474386
27.000000,71.474205,0.000305,71.474386
28.000000,71.474372,0.000097,71.474386
29.000000,71.474386,0.000000,71.474386
