Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,0.038183,12.138253,39.023649
1.000000,11.269110,17.725990,57.013548
2.000000,33.346252,9.116066,57.013548
3.000000,40.669596,4.299353,57.197882
4.000000,42.668966,5.956105,57.013548
5.000000,46.178663,6.489762,57.013548
6.000000,50.923737,4.182868,57.237949
7.000000,55.513074,3.326106,57.237949
8.000000,57.019700,0.035300,57.237949
9.000000,57.024768,0.048907,57.237949
10.000000,57.115278,0.921170,66.269900
11.000000,57.117522,0.921193,66.269900
12.000000,57.124635,0.921280,66.269900
13.000000,57.230757,1.292183,66.269900
14.000000,57.534531,2.004507,66.269900
15.000000,57.835378,2.487818,66.269900
16.000000,58.172728,2.846627,66.269900
17.000000,59.524547,5.406018,94.785064
18.000000,60.971375,6.066381,94.785064
19.000000,64.571802,6.135580,94.785064
20.000000,67.769184,7.605959,94.852506
21.000000,69.959297,8.698454,94.785064
22.000000,71.235251,8.856094,94.785064
23.000000,72.257938,10.472376,94.852506
24.000000,75.898254,9.623782,94.918596
25.000000,78.033258,10.639547,94.918596
26.000000,79.784017,10.981181,94.918596
27.000000,80.430325,11.113266,94.918596
28.000000,83.511067,9.678327,94.918596
29.000000,84.581779,9.282474,94.918596
