Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,0.082726,12.346407,56.575131
1.000000,9.098928,17.834423,66.171054
2.000000,27.366097,16.785805,75.013548
3.000000,32.684294,14.904229,75.013548
4.000000,35.994536,13.702580,75.013548
5.000000,39.658691,11.914169,57.097367
6.000000,41.853126,11.317967,57.269900
7.000000,42.878124,10.086206,57.269900
8.000000,45.389407,8.274363,66.100103
9.000000,47.290575,8.410998,66.100103
10.000000,51.317737,8.398346,75.269900
11.000000,54.502556,8.549520,75.269900
12.000000,57.553710,8.107157,94.785064
13.000000,62.326871,9.937857,94.785064
14.000000,65.106678,10.257888,94.785064
15.000000,72.133792,13.116747,94.785064
16.000000,78.541519,14.458895,94.785064
17.000000,79.296405,14.720806,94.852506
18.000000,80.502445,15.623067,94.852506
19.000000,81.930018,15.403589,94.852506
20.000000,82.505323,15.287628,94.852506
21.000000,81.468541,17.096340,94.852506
22.000000,79.189120,17.647511,94.918596
23.000000,79.657910,17.399783,94.918596
24.000000,81.995034,15.903842,94.918596
25.000000,83.326606,15.463572,94.918596
26.000000,84.350122,14.740734,94.918596
27.000000,85.010509,14.067183,94.918596
28.000000,83.439386,14.051664,94.918596
29.000000,89.497804,8.531641,94.918596
