Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,24.067183,19.365460,86.391410
1.000000,42.882441,16.593563,86.391410
2.000000,56.419145,7.137436,86.391410
3.000000,59.789078,7.605919,86.391410
4.000000,63.182930,9.612794,86.391410
5.000000,68.436606,12.234365,86.391410
6.000000,70.566621,12.098714,87.591410
7.000000,73.329992,11.234913,87.591410
8.000000,76.744311,10.433090,87.591410
9.000000,78.252650,9.182404,87.591410
10.000000,78.802993,8.916865,87.591410
11.000000,80.193249,8.359339,88.421114
12.000000,81.104650,8.154183,91.929262
13.000000,83.533315,6.169685,91.929262
14.000000,85.908940,3.421052,91.929262
15.000000,87.137957,0.626476,89.213791
16.000000,87.217784,0.679528,89.468774
17.000000,86.184614,3.865918,89.213791
18.000000,84.970348,6.594318,89.213791
19.000000,87.333435,0.734792,89.213791
20.000000,87.507674,0.811980,89.468774
21.000000,87.799644,0.906314,89.468774
22.000000,87.858452,0.989579,89.468774
23.000000,87.907519,0.995099,89.468774
24.000000,87.963054,0.985049,89.468774
25.000000,88.005130,1.007806,89.468774
26.000000,88.199415,0.830137,89.468774
27.000000,88.261506,0.782372,89.468774
28.000000,88.254641,0.904657,89.468774
29.000000,88.432385,0.741381,89.468774
