Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,44.043951,39.047032,92.394865
1.000000,85.564629,15.404225,94.192404
2.000000,91.313651,1.777711,94.192404
3.000000,92.697048,0.562544,94.394024
4.000000,92.982062,0.723075,94.394024
5.000000,93.142545,0.735758,94.394024
6.000000,93.375799,0.683789,94.394024
7.000000,93.604714,0.611505,94.394024
8.000000,93.803927,0.468089,94.394024
9.000000,93.976727,0.355361,94.394024
10.000000,94.157975,0.275555,94.394024
11.000000,94.224558,0.232013,94.394024
12.000000,94.243873,0.225003,94.401683
13.000000,94.278723,0.201887,94.654253
14.000000,94.278761,0.340978,94.654253
15.000000,94.388110,0.101723,94.654253
16.000000,94.396373,0.119476,94.654253
17.000000,94.434606,0.142062,94.654253
18.000000,94.442749,0.143810,94.654253
19.000000,94.451515,0.145795,94.654253
20.000000,94.460584,0.147549,94.654253
21.000000,94.459890,0.173099,94.654253
22.000000,94.477586,0.153675,94.732404
23.000000,94.492010,0.160042,94.732404
24.000000,94.499463,0.188566,94.732404
25.000000,94.508136,0.186848,94.732404
26.000000,94.503728,0.201990,94.732404
27.000000,94.529367,0.201283,94.732404
28.000000,94.532011,0.212915,94.792404
29.000000,94.553790,0.230030,94.792404
