Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,29.554757,13.051881,63.844692
1.000000,38.886985,4.228888,50.651167
2.000000,40.973419,4.227567,53.597598
3.000000,42.385201,4.694540,53.597598
4.000000,46.670247,4.676548,67.729358
5.000000,49.214356,3.162528,61.087511
6.000000,49.774791,3.877186,65.130677
7.000000,50.627319,4.589111,62.584621
8.000000,52.027709,5.990530,69.088878
9.000000,54.578469,7.189416,69.088878
10.000000,58.143861,7.283274,69.399042
11.000000,62.227446,4.912450,69.368383
12.000000,61.372812,6.019822,69.165679
13.000000,64.641499,2.754440,69.165679
14.000000,65.068827,2.322005,69.414742
15.000000,65.207783,2.296543,69.610303
16.000000,65.712515,2.216458,77.511124
17.000000,66.290031,1.718066,77.511124
18.000000,65.369369,2.133379,71.271970
19.000000,66.450443,1.645111,77.949124
20.000000,66.225874,1.343968,69.420631
21.000000,66.370677,0.943994,69.139456
22.000000,66.756345,0.554967,69.249006
23.000000,66.939626,0.685517,69.857005
24.000000,66.898682,0.806662,69.845681
25.000000,66.852618,0.720710,69.845681
26.000000,67.222213,2.168374,87.552642
27.000000,67.050867,0.645324,69.969026
28.000000,67.045392,0.619952,70.038572
29.000000,67.075525,0.714900,70.038572
