Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,24.815681,16.974220,62.240682
1.000000,42.129924,6.834358,67.654620
2.000000,47.204288,5.482248,67.619726
3.000000,49.025633,5.853084,64.089396
4.000000,50.560172,5.816298,63.876049
5.000000,52.886573,5.633894,67.532437
6.000000,55.083968,5.570111,69.445245
7.000000,56.006970,5.799642,71.105242
8.000000,58.371911,4.821095,69.664438
9.000000,56.699847,6.223491,68.357363
10.000000,59.487433,4.468844,69.676836
11.000000,62.580929,3.964877,69.641680
12.000000,62.859783,3.664492,69.641680
13.000000,62.925100,3.505475,70.111495
14.000000,63.535395,3.696394,70.133654
15.000000,64.164681,3.476913,71.400177
16.000000,64.970499,3.271344,70.014029
17.000000,66.077368,2.851233,71.321555
18.000000,65.295779,4.039286,69.992231
19.000000,65.280057,3.691172,71.310116
20.000000,67.616081,2.254797,71.310116
21.000000,67.881812,2.649296,71.730888
22.000000,66.854270,3.764555,71.512995
23.000000,67.852466,2.989077,72.029378
24.000000,68.530303,2.112351,71.488245
25.000000,69.884820,0.745782,71.486939
26.000000,69.749288,1.090322,71.486939
27.000000,70.127166,0.766431,71.829048
28.000000,70.125820,0.795144,71.584245
29.000000,70.435092,0.846867,71.584245
